node_id,x,y,z,is_enabled,is_water,unused,speed,type,density,street_name_hash,is_highway_or_interior,no_gps,is_tunnel,unused2,cannot_go_left,left_turn_only,off_road,cannot_go_right,no_big_vehicles,indicate_keep_left,indicate_keep_right,slip_lane
0,1263.57,-2044.083,43.35715,0,0,0,1,0,0.5333334,2142106034,0,0,0,0,1,0,0,0,0,0,0,0
1,1277.151,-2038.849,43.38156,0,0,0,1,0,0.5333334,2142106034,0,0,0,0,0,0,0,0,0,0,0,0
2,1289.216,-2034.448,43.52467,0,0,0,1,0,0.5333334,2142106034,0,0,0,0,0,0,0,0,0,0,0,0
3,1306.502,-2027.333,44.90371,0,0,0,1,0,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1320.159,-2021.286,46.21108,0,0,0,1,0,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1332.186,-2015.635,47.55824,0,0,0,1,0,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1343.117,-2009.498,49.13213,0,0,0,1,0,0.5333334,2142106034,0,0,0,0,0,0,0,0,0,0,0,0
7,1353.666,-2003.156,50.84113,0,0,0,1,0,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1363.831,-1996.034,53.03146,0,0,0,1,0,0.5333334,2142106034,0,0,0,0,0,0,0,0,0,0,0,0
9,1380.08,-1993.351,55.80785,0,0,0,1,0,0.5333334,2142106034,0,0,0,0,0,0,0,0,0,0,0,0
10,1388.991,-1985.097,58.23999,0,0,0,1,0,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1397.263,-1976.049,60.50703,0,0,0,1,0,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1404.569,-1966.037,62.53166,0,0,0,1,0,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1410.962,-1955.599,64.36633,0,0,0,1,0,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1416.658,-1944.798,66.00111,0,0,0,1,0,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1421.749,-1933.713,67.46524,0,0,0,1,0,0.5333334,0,0,0,0,0,0,0,0,0,0,0,0,0
